traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-10-17T12:00:12.000000Z.MMN.HHZ,0,0.0034307041,0.0034307041205465794
2010-10-20T05:12:36.000000Z.CUC.HHZ,1,0.996307,0.0036929845809936523
2010-10-20T05:12:36.000000Z.MMN.HHZ,1,0.9969807,0.003019273281097412
2010-10-24T03:22:53.998000Z.CUC.HHZ,1,0.9950263,0.004973709583282471
2010-10-24T03:22:53.998000Z.MMN.HHZ,1,0.9917652,0.008234798908233643
2010-10-24T03:22:54.000000Z.SALB.HHZ,1,0.9081678,0.0918322205543518
2010-10-24T11:09:49.000000Z.CUC.HHZ,1,0.99678636,0.003213644027709961
2010-10-24T11:09:49.000000Z.MMN.HHZ,1,0.99634004,0.003659963607788086
2010-10-24T11:09:49.000000Z.MTSN.HHZ,1,0.0038629798,0.9961370201781392
2010-10-24T11:09:49.000000Z.SALB.HHZ,1,0.9936725,0.006327509880065918
2010-10-24T20:57:06.000000Z.CUC.HHZ,1,0.98407483,0.015925168991088867
2010-10-24T20:57:06.000000Z.MMN.HHZ,0,0.0034291851,0.0034291851334273815
2010-10-24T20:57:06.000000Z.SALB.HHZ,1,0.99864346,0.0013565421104431152
2010-11-09T08:43:01.000001Z.CUC.HHZ,1,0.9975914,0.002408623695373535
2010-11-09T08:43:01.000001Z.MCEL.HHZ,1,0.99750084,0.0024991631507873535
2010-11-09T08:43:01.000001Z.MTSN.HHZ,1,0.9978206,0.002179384231567383
2010-11-09T08:43:01.000001Z.SALB.HHZ,1,0.99263215,0.007367849349975586
2010-11-09T08:43:01.000001Z.SCHR.EHZ,1,0.99336916,0.006630837917327881
2010-11-09T08:43:01.000001Z.SIRI.HHZ,1,0.98670006,0.013299942016601562
2010-11-09T08:43:01.000001Z.SLCN.HHZ,1,0.9965558,0.003444194793701172
2010-12-14T13:01:20.000000Z.CUC.HHZ,1,0.9962741,0.003725886344909668
2010-12-14T13:01:20.000000Z.SCHR.EHZ,1,0.9863898,0.01361018419265747
2010-12-14T13:01:20.000000Z.SIRI.HHZ,1,0.90463674,0.09536325931549072
2010-12-24T02:46:22.000000Z.CUC.HHZ,1,0.9966648,0.0033351778984069824
2010-12-24T02:46:22.000000Z.ORI.HHZ,1,0.9985203,0.0014796853065490723
2010-12-24T02:46:22.000000Z.SALB.HHZ,1,0.99728,0.0027199983596801758
2010-12-24T02:46:22.000000Z.SCHR.EHZ,0,0.28880933,0.28880932927131653
2010-12-24T03:55:06.000000Z.CUC.HHZ,1,0.99595875,0.00404125452041626
2010-12-24T03:55:06.000000Z.SALB.HHZ,1,0.9932474,0.006752610206604004
2010-12-26T21:47:57.000000Z.MTSN.HHZ,0,0.031849343,0.031849343329668045
2010-12-26T21:47:57.000000Z.SALB.HHZ,1,0.9936999,0.006300091743469238
2011-01-02T00:22:41.000000Z.MCEL.HHZ,1,0.99272037,0.007279634475708008
2011-01-02T00:22:41.000000Z.MMN.HHZ,0,0.0028417408,0.002841740846633911
2011-01-02T00:22:41.000000Z.MTSN.HHZ,0,0.99654657,0.9965465664863586
2011-01-02T00:22:41.000000Z.ORI.HHZ,1,0.9931746,0.006825387477874756
2011-01-02T00:22:41.000000Z.SALB.HHZ,1,0.9971988,0.002801179885864258
2011-01-07T18:19:50.000000Z.MMN.HHZ,1,0.99363446,0.006365537643432617
2011-01-07T18:19:50.000000Z.SALB.HHZ,1,0.9912881,0.00871187448501587
2011-01-11T02:44:57.999000Z.CUC.HHZ,1,0.99489766,0.005102336406707764
2011-01-11T02:44:57.999000Z.CEL.HHZ,1,0.13858229,0.8614177107810974
2011-01-11T02:44:57.999000Z.MMN.HHZ,0,0.029064171,0.029064171016216278
2011-01-11T02:44:58.000000Z.SALB.HHZ,1,0.99756783,0.0024321675300598145
2011-01-11T02:44:58.000000Z.SIRI.HHZ,1,0.9910176,0.008982419967651367
2011-01-12T06:35:15.998000Z.CUC.HHZ,1,0.9928328,0.007167220115661621
2011-01-12T06:35:15.998000Z.MMN.HHZ,0,0.005352567,0.005352566950023174
2011-01-12T06:35:16.000000Z.SALB.HHZ,1,0.9913003,0.00869971513748169
2011-01-13T10:36:21.000000Z.CUC.HHZ,1,0.9948355,0.005164504051208496
2011-01-13T10:36:21.000000Z.CEL.HHZ,0,0.0140704205,0.014070420525968075
2011-01-13T10:36:21.000000Z.MMN.HHZ,0,0.02592128,0.025921279564499855
2011-01-13T10:36:21.000000Z.SALB.HHZ,1,0.9944469,0.005553126335144043
2011-01-15T01:58:38.000000Z.CUC.HHZ,1,0.9918057,0.008194327354431152
2011-01-15T01:58:38.000000Z.MMN.HHZ,0,0.003886501,0.003886501071974635
2011-01-15T01:58:38.000000Z.SALB.HHZ,1,0.9921908,0.0078092217445373535
2011-02-10T06:48:46.000000Z.CUC.HHZ,1,0.99284244,0.007157564163208008
2011-02-10T06:48:46.000000Z.MMN.HHZ,0,0.0044386825,0.004438682459294796
2011-02-10T06:48:46.000000Z.SCHR.EHZ,0,0.020273525,0.020273525267839432
2011-02-10T06:48:46.000000Z.SIRI.HHZ,1,0.990257,0.009742975234985352
2011-02-17T07:53:09.000000Z.MMN.HHZ,1,0.99544984,0.004550158977508545
2011-02-17T07:53:09.000000Z.SALB.HHZ,1,0.9937551,0.0062448978424072266
2011-02-17T07:53:09.000000Z.SCHR.EHZ,0,0.008119869,0.00811986904591322
2011-02-17T13:49:40.000000Z.CEL.HHZ,0,0.13684939,0.13684938848018646
2011-02-17T13:49:40.000000Z.MMN.HHZ,1,0.99581933,0.0041806697845458984
2011-02-17T13:49:40.000000Z.SALB.HHZ,1,0.99030125,0.009698748588562012
2011-02-17T13:49:40.000000Z.SIRI.HHZ,1,0.006306163,0.9936938369646668
2011-02-23T22:26:19.000000Z.CUC.HHZ,0,0.0031140344,0.0031140344217419624
2011-02-23T22:26:19.000000Z.SALB.HHZ,1,0.988997,0.01100301742553711
2011-03-26T16:36:29.000000Z.CUC.HHZ,1,0.995978,0.004022002220153809
2011-03-26T16:36:29.000000Z.SALB.HHZ,1,0.99603146,0.003968536853790283
2011-03-26T16:36:29.000000Z.SIRI.HHZ,0,0.9639842,0.9639841914176941
2011-03-29T11:33:25.000000Z.CUC.HHZ,1,0.9935715,0.00642848014831543
