traccia,y_a_Mano,y_predict,delta
2011-11-14T04:16:41.000000Z.CUC.HHZ,1,0.99999297,7.033348083496094e-06
2011-11-14T04:16:41.000000Z.MMN.HHZ,1,0.9999999,1.1920928955078125e-07
2011-11-14T04:16:41.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-14T04:16:41.000000Z.SCHR.EHZ,1,0.9999962,3.814697265625e-06
2011-11-14T13:05:48.000000Z.MMN.HHZ,1,0.97908384,0.0209161639213562
2011-11-14T13:05:49.000000Z.CUC.HHZ,1,0.9999993,7.152557373046875e-07
2011-11-14T13:05:49.000000Z.SALB.HHZ,1,0.0019434801,0.998056519892998
2011-11-15T17:59:00.000000Z.CUC.HHZ,1,0.99999964,3.5762786865234375e-07
2011-11-15T17:59:00.000000Z.SALB.HHZ,1,0.9985489,0.0014510750770568848
2011-11-16T19:30:20.998000Z.CUC.HHZ,1,1.0,0.0
2011-11-16T19:30:20.998000Z.MMN.HHZ,0,1.0028117e-07,1.0028117003457737e-07
2011-11-16T19:30:21.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-22T20:17:23.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-22T20:17:23.000000Z.MMN.HHZ,1,1.0,0.0
2011-11-22T20:17:23.000000Z.SALB.HHZ,1,0.99999774,2.2649765014648438e-06
2011-11-23T14:33:47.999000Z.MGR.HHZ,1,1.0,0.0
2011-11-23T14:33:47.999000Z.MMN.HHZ,0,0.0006352439,0.0006352438940666616
2011-11-23T14:33:48.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-23T18:19:15.000000Z.CUC.HHZ,1,0.99999774,2.2649765014648438e-06
2011-11-23T18:19:15.000000Z.MMN.HHZ,0,8.038311e-05,8.038311352720484e-05
2011-11-24T02:12:48.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-24T02:12:48.000000Z.MMN.HHZ,0,3.4666034e-08,3.466603359925102e-08
2011-11-24T02:12:48.000000Z.MTSN.HHZ,1,1.0,0.0
2011-11-24T02:12:48.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-24T02:12:48.000000Z.SCHR.EHZ,1,0.99998236,1.7642974853515625e-05
2011-11-24T11:33:30.999000Z.MMN.HHZ,1,1.0,0.0
2011-11-24T11:33:31.000000Z.SALB.HHZ,1,0.9973459,0.0026540756225585938
2011-11-24T11:58:08.998000Z.CUC.HHZ,1,0.99999976,2.384185791015625e-07
2011-11-24T11:58:08.998000Z.MMN.HHZ,1,0.9924414,0.007558584213256836
2011-11-24T11:58:09.000000Z.SALB.HHZ,1,0.99999774,2.2649765014648438e-06
2011-11-24T11:58:09.000000Z.SCHR.EHZ,1,1.0,0.0
2011-11-25T10:26:31.998000Z.CUC.HHZ,1,0.9999559,4.410743713378906e-05
2011-11-25T10:26:31.998000Z.MMN.HHZ,0,7.71387e-08,7.713870076031526e-08
2011-11-25T10:26:32.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-26T15:39:07.999000Z.CUC.HHZ,1,1.0,0.0
2011-11-26T15:39:07.999000Z.MMN.HHZ,1,1.0,0.0
2011-11-26T15:39:08.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-28T12:24:49.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-28T12:24:49.000000Z.MMN.HHZ,0,2.6489113e-07,2.648911276992294e-07
2011-11-28T12:24:49.000000Z.MTSN.HHZ,0,0.6426152,0.6426151990890503
2011-11-28T12:24:49.000000Z.SALB.HHZ,1,0.9999976,2.384185791015625e-06
2011-11-28T12:24:49.000000Z.SCHR.EHZ,1,0.9999999,1.1920928955078125e-07
2011-11-28T12:24:49.000000Z.SIRI.HHZ,1,0.9999982,1.7881393432617188e-06
2011-11-30T21:07:05.000000Z.CUC.HHZ,1,1.0,0.0
2011-11-30T21:07:05.000000Z.MMN.HHZ,1,1.0,0.0
2011-11-30T21:07:05.000000Z.SALB.HHZ,1,1.0,0.0
2011-11-30T21:07:05.000000Z.SCHR.EHZ,1,1.0,0.0
2011-12-01T01:46:04.000000Z.BULG.HHZ,0,0.008286459,0.008286459371447563
2011-12-01T01:46:04.000000Z.CET2.HHZ,1,0.99997663,2.3365020751953125e-05
2011-12-01T01:46:03.999000Z.CUC.HHZ,1,1.0,0.0
2011-12-01T01:46:03.999000Z.MMN.HHZ,0,6.4369448e-09,6.436944754995011e-09
2011-12-01T01:46:04.000000Z.MTSN.HHZ,0,2.1120025e-08,2.1120024840115548e-08
2011-12-01T01:46:04.000000Z.SALB.HHZ,1,0.997801,0.0021989941596984863
2011-12-01T13:42:29.000001Z.BULG.HHZ,1,0.26533428,0.734665721654892
2011-12-01T13:42:29.000001Z.CUC.HHZ,1,1.0,0.0
2011-12-01T13:42:29.000001Z.MMN.HHZ,0,2.422204e-07,2.422204090635205e-07
2011-12-01T13:42:29.000001Z.MTSN.HHZ,1,0.9999999,1.1920928955078125e-07
2011-12-01T13:42:29.000001Z.SALB.HHZ,1,0.99997854,2.1457672119140625e-05
2011-12-01T13:42:29.000001Z.SCHR.EHZ,1,0.9999825,1.7523765563964844e-05
2011-12-01T13:42:29.000001Z.SIRI.HHZ,1,1.0,0.0
2011-12-01T13:42:29.000001Z.SLCN.HHZ,0,1.904291e-07,1.9042910537336866e-07
2011-12-01T14:01:02.000000Z.CET2.HHZ,1,1.0,0.0
2011-12-01T14:01:02.000000Z.CUC.HHZ,1,1.0,0.0
2011-12-01T14:01:02.000000Z.ORI.HHZ,1,1.0,0.0
2011-12-01T14:01:02.000000Z.SALB.HHZ,1,1.0,0.0
2011-12-01T14:01:02.000000Z.SCHR.EHZ,1,1.0,0.0
2011-12-01T14:01:02.000000Z.SIRI.HHZ,1,1.0,0.0
2011-12-01T18:02:30.999999Z.CUC.HHZ,1,1.0,0.0
2011-12-01T18:02:30.999999Z.MMN.HHZ,0,1.2849619e-06,1.284961854253197e-06
2011-12-01T18:02:30.999999Z.SALB.HHZ,1,1.0,0.0
2011-12-01T18:02:30.999999Z.SCHR.EHZ,1,1.0,0.0
2011-12-01T18:02:30.999999Z.SIRI.HHZ,1,1.0,0.0
2011-12-02T19:38:29.000000Z.CET2.HHZ,1,0.9999914,8.58306884765625e-06
2011-12-02T19:38:29.000000Z.CUC.HHZ,1,1.0,0.0
2011-12-02T19:38:29.000000Z.MMN.HHZ,0,7.0900685e-10,7.090068532278337e-10
2011-12-02T19:38:29.000000Z.MTSN.HHZ,1,0.999997,2.9802322387695312e-06
2011-12-02T19:38:29.000000Z.ORI.HHZ,1,0.99065137,0.009348630905151367
2011-12-02T19:38:29.000000Z.SALB.HHZ,1,0.99999976,2.384185791015625e-07
2011-12-02T19:38:29.000000Z.SCHR.EHZ,1,0.9999995,4.76837158203125e-07
2011-12-02T19:38:29.000000Z.SIRI.HHZ,1,0.99993443,6.556510925292969e-05
2011-12-02T21:25:19.999999Z.CET2.HHZ,1,1.0,0.0
2011-12-02T21:25:19.999999Z.CUC.HHZ,1,1.0,0.0
2011-12-02T21:25:19.999999Z.MGR.HHZ,1,1.0,0.0
2011-12-02T21:25:19.999999Z.MMN.HHZ,1,0.99999964,3.5762786865234375e-07
2011-12-02T21:25:19.999999Z.ORI.HHZ,1,1.0,0.0
2011-12-02T21:25:19.999999Z.SALB.HHZ,1,1.0,0.0
2011-12-02T21:25:19.999999Z.SCHR.EHZ,1,0.9999999,1.1920928955078125e-07
2011-12-02T21:25:19.999999Z.SIRI.HHZ,1,0.9999999,1.1920928955078125e-07
2011-12-03T06:16:08.000000Z.CET2.HHZ,1,1.0,0.0
2011-12-03T06:16:08.000000Z.CUC.HHZ,1,0.9999994,5.960464477539062e-07
2011-12-03T06:16:08.000000Z.MMN.HHZ,1,0.9999999,1.1920928955078125e-07
2011-12-03T06:16:08.000000Z.SALB.HHZ,1,0.99999976,2.384185791015625e-07
2011-12-03T06:16:08.000000Z.SCHR.EHZ,1,1.0,0.0
2011-12-03T06:16:08.000000Z.SLCN.HHZ,1,0.6188138,0.38118618726730347
2011-12-03T23:53:29.000000Z.CUC.HHZ,1,0.9999995,4.76837158203125e-07
2011-12-03T23:53:29.000000Z.MMN.HHZ,0,8.142209e-07,8.142209253492183e-07
2011-12-03T23:53:29.000000Z.MTSN.HHZ,0,7.049031e-08,7.049030870120987e-08
2011-12-03T23:53:29.000000Z.SALB.HHZ,1,0.99999607,3.933906555175781e-06
2011-12-07T03:17:29.000000Z.CUC.HHZ,1,0.9999521,4.792213439941406e-05
2011-12-07T03:17:29.000000Z.MMN.HHZ,1,1.0,0.0
2011-12-08T04:58:17.999999Z.CET2.HHZ,0,5.1880423e-05,5.188042268855497e-05
2011-12-08T04:58:17.999999Z.CUC.HHZ,1,1.0,0.0
2011-12-08T04:58:17.999999Z.SALB.HHZ,1,0.9999999,1.1920928955078125e-07
2011-12-08T04:58:17.999999Z.SCHR.EHZ,1,0.99898666,0.001013338565826416
2011-12-08T04:58:17.999999Z.SIRI.HHZ,1,0.99215525,0.007844746112823486
2011-12-10T14:53:09.000000Z.CET2.HHZ,1,0.9999982,1.7881393432617188e-06
2011-12-10T14:53:09.000000Z.CUC.HHZ,1,0.99999976,2.384185791015625e-07
2011-12-10T14:53:09.000000Z.MMN.HHZ,0,3.4942727e-07,3.49427267565261e-07
2011-12-10T14:53:09.000000Z.MTSN.HHZ,1,1.0,0.0
2011-12-10T14:53:09.000000Z.SALB.HHZ,1,0.999954,4.601478576660156e-05
2011-12-12T23:06:49.000000Z.CUC.HHZ,1,1.0,0.0
2011-12-12T23:06:49.000000Z.MMN.HHZ,1,0.9999993,7.152557373046875e-07
2011-12-12T23:06:49.000000Z.SALB.HHZ,1,0.99999833,1.6689300537109375e-06
2011-12-13T11:08:03.000000Z.CET2.HHZ,1,1.0,0.0
2011-12-13T11:08:03.000000Z.CUC.HHZ,1,0.99879324,0.0012067556381225586
2011-12-13T11:08:03.000000Z.MMN.HHZ,0,4.295233e-08,4.295232969298013e-08
2011-12-13T11:08:03.000000Z.MTSN.HHZ,1,0.009697618,0.9903023820370436
2011-12-13T11:08:03.000000Z.SALB.HHZ,1,0.99999976,2.384185791015625e-07
2011-12-13T11:08:03.000000Z.SCHR.EHZ,1,0.9999975,2.5033950805664062e-06
2011-12-18T11:00:11.000000Z.CUC.HHZ,1,0.9999988,1.1920928955078125e-06
2011-12-18T11:00:11.000000Z.MGR.HHZ,0,8.724602e-08,8.724602196252818e-08
2011-12-18T11:00:11.000000Z.MMN.HHZ,1,1.0,0.0
2011-12-18T11:00:11.000000Z.SALB.HHZ,1,1.0,0.0
2011-12-18T11:00:11.000000Z.SCHR.EHZ,0,1.5745268e-06,1.574526777403662e-06
2011-12-20T23:41:43.000000Z.CUC.HHZ,1,1.0,0.0
2011-12-20T23:41:43.000000Z.MMN.HHZ,1,1.0,0.0
2011-12-20T23:41:43.000000Z.MTSN.HHZ,1,0.9865486,0.01345139741897583
2011-12-20T23:41:43.000000Z.SALB.HHZ,1,0.9980118,0.0019881725311279297
2011-12-22T09:59:45.000000Z.CET2.HHZ,0,0.00034611978,0.0003461197775322944
2011-12-22T09:59:45.000000Z.CUC.HHZ,1,0.9999987,1.3113021850585938e-06
2011-12-22T09:59:45.000000Z.MMN.HHZ,1,0.99999964,3.5762786865234375e-07
2011-12-23T14:49:13.000000Z.CUC.HHZ,1,1.0,0.0
2011-12-23T14:49:13.000000Z.MMN.HHZ,1,0.9999993,7.152557373046875e-07
2011-12-23T14:49:13.000000Z.MTSN.HHZ,0,4.5255096e-05,4.525509575614706e-05
2011-12-23T14:49:13.000000Z.SCHR.EHZ,1,0.9999815,1.8477439880371094e-05
2011-12-23T21:53:54.000000Z.CMPR.HHZ,0,0.9287881,0.9287881255149841
2011-12-23T21:53:54.000000Z.CUC.HHZ,1,0.9999895,1.049041748046875e-05
2011-12-23T21:53:54.000000Z.MMN.HHZ,1,0.9999323,6.771087646484375e-05
2011-12-23T21:53:54.000000Z.MTSN.HHZ,0,6.5155945e-07,6.515594463962771e-07
2011-12-23T21:53:54.000000Z.SCHR.EHZ,1,0.9999125,8.749961853027344e-05
2011-12-24T14:53:09.000000Z.CET2.HHZ,0,7.34012e-05,7.340119918808341e-05
2011-12-24T14:53:09.000000Z.CUC.HHZ,1,0.20732746,0.7926725447177887
2011-12-24T14:53:09.000000Z.MTSN.HHZ,1,0.9999982,1.7881393432617188e-06
2011-12-24T14:53:09.000000Z.SALB.HHZ,1,0.99986863,0.00013136863708496094
2011-12-24T14:53:09.000000Z.SCHR.EHZ,1,0.99989676,0.00010323524475097656
2011-12-24T20:17:32.000001Z.CUC.HHZ,1,1.0,0.0
2011-12-24T20:17:32.000001Z.MGR.HHZ,1,1.0,0.0
2011-12-24T20:17:32.000001Z.MMN.HHZ,1,1.0,0.0
